Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood_Opebi,Neighborhood_Other Lekki,Neighborhood_Adeniyi Jones,Neighborhood_Lekki Phase 1,Neighborhood_Ikota,Neighborhood_Chevron,Neighborhood_Lekki Phase 2,Neighborhood_Ikate,Neighborhood_Other Ikeja,Neighborhood_Osapa London,Neighborhood_Ologolo,Neighborhood_Foreshore,Neighborhood_GRA,Neighborhood_Parkview,Neighborhood_Victoria Garden City,Neighborhood_Agungi,Neighborhood_Banana Island,Neighborhood_Omole,Neighborhood_Other Ikoyi,Neighborhood_Oniru,Neighborhood_Old Ikoyi,Neighborhood_Other Victoria Island,Neighborhood_Onikoyi,Neighborhood_Oregun,Neighborhood_Victoria Island Extension,Neighborhood_Allen Avenue,Neighborhood_Alausa,Neighborhood_Maryland,Neighborhood_Waziri Adeola Odeku,Neighborhood_Airport Road,Neighborhood_Awolowo Way,Neighborhood_Agidingbi,Type_Semi Detached Duplex,Type_Detached Duplex,Type_Terraced Duplex,City_Ikeja,City_Lekki,City_Ikoyi,City_Victoria Island,Price
0,0,0,0.7713557475755168,0.3712459529340493,-0.17059156225800212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,190000000.0
0,1,0,-1.7341722128706678,-0.5827381461703172,-1.0772501308201252,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,35000000.0
0,1,1,-0.48140823264757543,-0.5827381461703172,-0.17059156225800212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,75000000.0
0,1,0,0.7713557475755168,0.3712459529340493,0.7360670063041209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,105000000.0
0,0,0,0.7713557475755168,0.3712459529340493,0.7360670063041209,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,120000000.0
0,1,0,-0.48140823264757543,-0.5827381461703172,-1.0772501308201252,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,150000000.0
0,1,1,-0.48140823264757543,0.3712459529340493,-0.17059156225800212,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,45000000.0
0,0,0,-1.7341722128706678,-4.398674542587783,-4.703884405068617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,30000000.0
0,0,0,-0.48140823264757543,-0.5827381461703172,-1.0772501308201252,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,65000000.0
0,1,0,0.7713557475755168,0.3712459529340493,0.7360670063041209,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,250000000.0
0,0,0,0.7713557475755168,0.3712459529340493,-0.17059156225800212,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,105000000.0
0,0,1,0.7713557475755168,0.3712459529340493,0.7360670063041209,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,60000000.0
0,1,0,0.7713557475755168,0.3712459529340493,0.7360670063041209,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,75000000.0
0,0,0,0.7713557475755168,0.3712459529340493,0.7360670063041209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,57000000.0
