Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets
4units Of 3 Bedroom Flat,Off Valley Estate Cement Mangoro Ikeja Lagos,₦,"60,000,000",0,0,0,3 beds,0 baths,0 Toilets
Plaza On 1200sqms Land,"Off Allen Avenue,ikeja Allen Avenue Ikeja Lagos",₦,"280,000,000",0,0,0, beds, baths, Toilets
Land,"Off Allen Avenue, Ikeja Allen Avenue Ikeja Lagos",₦,"95,000,000",0,0,0,0 beds,0 baths,0 Toilets
Luxury 3 Bedroom Apartment,Ikeja Gra Ikeja Lagos,₦,"90,000,000",1,1,0,3 beds,3 baths,4 Toilets
Luxury 5 Bedroom Detached Duplex,Ikeja Lagos,₦,"350,000,000",1,1,0,5 beds,5 baths,6 Toilets
Luxury 4 Bedroom Detached Duplex,Magodo Ikeja Lagos,₦,"295,000,000",1,1,0,4 beds,4 baths,5 Toilets
Luxury 3 Bedroom Flat,Allen Avenue Ikeja Lagos,₦,"55,000,000",0,0,0,3 beds,0 baths,0 Toilets
Mega Filling Station,Ikeja Lagos,₦,"1,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
Furnished Mini Flat,Off Toyin Street Toyin Street Ikeja Lagos,₦,"17,000,000",0,0,1,0 beds,0 baths,0 Toilets
"Commercial Property On 4 Floor Along Awolowo Way, Computer Village, Ikeja",Obafemi Awolowo Way Ikeja Lagos,₦,"500,000,000",0,0,0, beds, baths, Toilets
Fenced 7½ Acres Of Land With Warehouses,Oba Akran Ikeja Lagos,₦,"9,500,000,000",0,0,0,0 beds,0 baths,0 Toilets
3bedroom Terrace House + Bq,Ikeja Gra Ikeja Lagos,₦,"125,000,000",0,0,1,3 beds,5 baths,5 Toilets
4 Bedroom Wing Of Duplex,Adeniyi Jones Ikeja Lagos,₦,"220,000,000",0,0,0,0 beds,0 baths,0 Toilets
A Unique Executive 41 Rooms Hotel,Allen Avenue Ikeja Lagos,₦,"1,400,000,000",0,0,1,0 beds,10 baths,10 Toilets
Land,Mobolaji Bank Anthony Way Ikeja Lagos,₦,"200,000,000",0,0,0,0 beds,0 baths,0 Toilets
4bedroom Flat With Bq,Opebi Ikeja Lagos,₦,"1,500,000/year",0,0,0,0 beds,0 baths,0 Toilets
Available Land,Magodo Phase2 Ikeja Lagos,₦,"55,000,000",0,0,0,0 beds,0 baths,0 Toilets
A Strategic Commercial 5 Floors Building,Toyin Street Ikeja Lagos,₦,"300,000,000",0,0,0,0 beds,0 baths,0 Toilets
Top Notch Tastefully Finished 4 Bedroom Terrace Duplex,Ladoke Akintola Street Ikeja Gra Ikeja Lagos,₦,"160,000,000",1,0,0,4 beds,4 baths,5 Toilets
3 Bedroom Duplex With A Mini Flat,Ikeja Gra Ikeja Lagos,₦,"850,000,000",0,0,0,0 beds,0 baths,0 Toilets
Executive Brand New 4 Bedroom Semi Detached Duplex With Bq,Skarplight Estate Via Ikeja Ikeja Lagos,₦,"45,000,000",0,1,1,4 beds,5 baths,5 Toilets
Land,Opic Estate Ikeja Lagos,₦,"9,000,000",0,0,0,0 beds,0 baths,0 Toilets
"12,000 Sq.meter Land",Ikeja Oba Akran Ikeja Lagos,₦,"1,300,000,000",0,0,0,0 beds,0 baths,0 Toilets
Office Complex 9 Floors,Allen Avenue Allen Avenue Ikeja Lagos,₦,"4,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
4bedroom Duplex In A Serene Neighborhood,Mares Garden Ikeja Gra Ikeja Lagos,₦,"200,000,000",0,0,0,4 beds,5 baths,5 Toilets
A Storey Building Of 20 Rooms ( Tenement),Oregun Ikeja Lagos,₦,"65,000,000",0,0,0, beds, baths, Toilets
Newly Built 7 Units Of 3 Bedroom Flat For Residential Or Commerical Purpose,"Nice Environment Off Allen Avenue Ikeja, Lagos Allen Avenue Ikeja Lagos",₦,"550,000,000",0,1,0,3 beds,4 baths,4 Toilets
Newly Built And Exquisite 5 Bedroom Duplex,Ikeja Gra Ikeja Lagos,₦,"180,000,000",0,1,0,0 beds,0 baths,0 Toilets
A 5 Star Hotel,Airport Road Lagos State Airport Road(ikeja) Ikeja Lagos,₦,"1,500,000,000",1,1,1,0 beds,0 baths,0 Toilets
4bedroom Semi Detached Duplex With Bq,Ogundana Axis Allen Avenue Ikeja Lagos,₦,"75,000,000",0,0,0,4 beds,5 baths,5 Toilets
A Newly Built 4 Bedroom Massionate Duplex,Awuse Estate Opebi Opebi Ikeja Lagos,₦,"90,000,000",0,1,0,4 beds,4 baths,5 Toilets
Land,Alausa Ikeja Lagos,₦,"300,000/sqm",0,0,0,0 beds,0 baths,0 Toilets
Newly Built And Beautifully Finished 3 Bedroom Flat,Off Allen Avenue Allen Avenue Ikeja Lagos,₦,"50,000,000",0,1,0,3 beds,0 baths,0 Toilets
Shops For Sale,Airport Road(ikeja) Ikeja Lagos,₦,"8,000,000",0,0,0, beds, baths, Toilets
A Functional 33 Rooms Hotel Built On 2100sqm Of Land,Ikeja Gra Ikeja Lagos,₦,"3,800,000,000",1,0,0,10 beds,0 baths,0 Toilets
4bedroom Terrace Duplex With 2living Rooms And 2car Garage,Opebi Ikeja Lagos Opebi Ikeja Lagos,₦,"120,000,000",0,0,0,4 beds,5 baths,5 Toilets
Newly Built 3bedroom Flat,Off Opebi Road. Opebi Ikeja Lagos,₦,"60,000,000",0,0,0,3 beds,3 baths,4 Toilets
A Storey Building On Half Plot,Akorowunfayo Street Ikeja Lagos,₦,"27,000,000",0,0,0,0 beds,0 baths,0 Toilets
34 Modern Hotel Rooms Plus Conference Room And Swimming Pool,Ikeja Gra Ikeja Lagos,₦,"2,200,000,000",0,0,0,0 beds,0 baths,0 Toilets
20000 Sq Mtr Land With Structure,Isaac John Ikeja Gra Ikeja Lagos,₦,"900,000,000",0,0,0,0 beds,0 baths,0 Toilets
