Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets
5 Bedroom Detached Duplex With Bq,Oniru Victoria Island Lagos,₦,"270,000,000",0,0,0, beds, baths, Toilets
Newly Built 3bedrooms Terrace Duplex,Victoria Island Lagos,₦,"190,000,000",1,1,0,3 beds,4 baths,4 Toilets
Luxury 3 Bedroom Apartment With Service Quarter,"Water Corporation Drive, Off Ligali Ayorinde, Oniru, Victoria Island Extension Victoria Island Lagos",₦,"87,000,000",1,0,0,3 beds,3 baths,4 Toilets
Fully Serviced 4 Bedroom Terrace Duplex,Victoria Island Lagos,₦,"300,000,000",0,1,0,4 beds,4 baths,5 Toilets
Ultra Modern 3 Bedroom Apartment + Bq,Eko Pearl Eko Atlantic Victoria Island Lagos,$,"875,000",1,0,0,3 beds,3 baths,4 Toilets
Almost Completed Luxury 3 Bedroom Apartment With A Maid's Room,"Water Corporation Drive, Oniru, Victoria Island Victoria Island Extension Victoria Island Lagos",₦,"95,000,000",1,0,0,3 beds,3 baths,4 Toilets
Spacious & Serviced 3 Bedroom Apartment With A Bq,"Adjoining Eko Atlantic City On Water Corporation Drive Off Ligali Ayorinde, Oniru, Victoria Island Victoria Island Extension Victoria Island Lagos",₦,"95,000,000",1,0,0,3 beds,3 baths,4 Toilets
Almost Completed Luxury 3 Bedroom Apartment With A Maid's Room,"Water Corporation Drive, Oniru, Victoria Island Victoria Island Extension Victoria Island Lagos",₦,"95,000,000",1,0,0,3 beds,3 baths,4 Toilets
"Luxury 3 Bedroom Apartment With Maid's Room, Laundry Room, Ac & Fitted Kitchen","Adjoining Eko Atlantic City On Water Corporation Drive Off Ligali Ayorinde, Oniru, Victoria Island Extension Victoria Island Lagos",₦,"87,000,000",1,0,0,3 beds,3 baths,4 Toilets
Functional 27 Rooms Hotel,Off Ligali Ayorinde Ligali Ayorinde Victoria Island Lagos,₦,"1,400,000,000",0,0,0,10 beds,10 baths,10 Toilets
Luxury 5 Bedroom Penthouse,Oniru Victoria Island Lagos,₦,"250,000,000",1,1,0,5 beds,5 baths,6 Toilets
Ultra Modern 2 Bedroom Apartment +bq,Eko Pearl Eko Atlantic Victoria Island Lagos,$,"710,000",1,0,0,2 beds,2 baths,3 Toilets
Serviced 4 Bedroom Terrace Duplex With Bq.,Mabogunje Street Oniru Victoria Island Lagos,₦,"137,000,000",1,1,0,4 beds,4 baths,5 Toilets
A Fenced And Gated Land Measuring 2100sqm,Louis Solomon Close Ahmadu Bello Way Victoria Island Lagos,₦,"1,400,000,000",0,0,0, beds, baths, Toilets
Fully Serviced 3bedrooms + Bq,Oniru Estate Oniru Victoria Island Lagos,₦,"150,000,000",1,1,0,3 beds,3 baths,4 Toilets
Luxury 4 Bedroom With Bq,Oniru Victoria Island Lagos,₦,"200,000,000",1,1,0,4 beds,4 baths,5 Toilets
5bedrooms Detached Duplex + 1 Room Bq For Sale,Tiamiyu Salvage Ahmadu Bello Way Victoria Island Lagos,₦,"650,000,000",0,0,0,5 beds,4 baths,4 Toilets
Luxury One Bedroom Hotel Styled Apartment Along Ahmadu Bello Way Victoria Island,Ahmadu Bello Way Ahmadu Bello Way Victoria Island Lagos,₦,"80,000,000",1,0,0,1 beds,1 baths,2 Toilets
Newly Built 2 Bedroom Apartment With Bq,Victoria Island Lagos,₦,"120,000,000",1,1,0,2 beds,2 baths,3 Toilets
Luxury 3 Bedroom Apartment,Victoria Island Lagos,₦,"140,000,000",1,1,0,3 beds,3 baths,4 Toilets
6074sqm Water Front Sand Filled Drylland,"Lekki Epe Expressway, Victoria Island, By Oriental Hotel, Lagos Victoria Island Extension Victoria Island Lagos",₦,"6,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
Newly Built 3 Bedroom Apartment,Adeola Odeku Victoria Island Lagos,₦,"150,000,000",1,1,0,3 beds,3 baths,4 Toilets
Spacious Luxury 3 Bedroom Apartment With Service Quarter,Adjoining Eko Atlantic City On Water Corporation Drive Off Ligali Ayorinde Victoria Island Lagos,₦,"95,000,000",1,0,0,3 beds,3 baths,4 Toilets
4 Bedroom Fully Detached,Oniru Victoria Island Lagos,₦,"370,000,000",0,0,0,4 beds,4 baths,5 Toilets
Luxury 5 Bedroom Masonite Penthouse,Victoria Island Oniru Victoria Island Lagos,₦,"265,000,000",1,1,0,5 beds,5 baths,6 Toilets
Functional 27 Rooms Hotel With Swimming Pool,Ligali Ayorinde Victoria Island Lagos,₦,"1,400,000,000",1,0,0,10 beds,10 baths,10 Toilets
Luxury Waterview Fully Furnished 2 Bedroom Apartment In Blue Water Apartments Lagos,Blue Water Apartments Oniru Victoria Island Lagos,₦,"140,000,000",0,1,0,2 beds,2 baths,3 Toilets
Water Front Land With C Of O,Experience Pure Tranquility And Absolute Peace Of Mind With True Nature Oniru Victoria Island Lagos,₦,"3,000,000,000",1,0,0, beds, baths, Toilets
"Serviced 3 Bedroom Apartment With Swimming Pool, Gym",Victoria Island Lagos,₦,"180,000,000",1,1,0,3 beds,3 baths,4 Toilets
Beautiful 5 Bedroom Detached Duplex With Swimming Pool And Bq,Oniru Victoria Island Lagos,₦,"270,000,000",1,1,0,5 beds,5 baths,6 Toilets
"Luxury Serviced 5 Bedroom Semi Detached Duplex With Swimming Pool, Cinema, Gym And Bq",Oniru Victoria Island Lagos,₦,"300,000,000",1,1,0,5 beds,5 baths,6 Toilets
Serviced 4 Bedroom Terrace Duplex With Swimming Pool And Bq,Victoria Island Lagos,₦,"150,000,000",1,1,0,4 beds,4 baths,5 Toilets
Hotel Space,Victoria Island Lagos,₦,"1,300,000,000",1,0,1,10 beds,10 baths,10 Toilets
Land,"Loius Solomon Close, Victoria Island Victoria Island Lagos",₦,"1,500,000,000",0,0,0,0 beds,0 baths,0 Toilets
2 Bedroom Serviced Apartment,Victoria Island Lagos,₦,"120,000,000",1,0,0,2 beds,2 baths,3 Toilets
Luxury 3bedroom Flat,Ahmadu Bello Way Victoria Island Lagos,₦,"230,000,000",0,0,0,3 beds,3 baths,4 Toilets
Open Plan Office Space For Sale,"Along Walter Carrington, Ozumba Mbadiwe Victoria Island Extension Victoria Island Lagos",$,"30,000,000",0,0,0, beds, baths, Toilets
Mixed Used Development On 7 Floors,Akin Adesola Victoria Island Lagos,₦,"7,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
30 Room Hotel For Sale In Victoria Island,Victoria Island Lagos,₦,"4,500,000,000",1,0,1,10 beds,10 baths,10 Toilets
2 Bedroom Luxury Apartments,Prince Adesegun Oniru Victoria Island Lagos,₦,"80,000,000",1,1,0,2 beds,2 baths,3 Toilets
3 Bedroom Apartments Plus 1room Bq For Sale,Mabogunje Road Oniru Victoria Island Lagos,₦,"150,000,000",1,1,1,3 beds,3 baths,4 Toilets
800 Sqm Land,Oniru Victoria Island Lagos,₦,"300,000,000",0,0,0,0 beds,0 baths,0 Toilets
3 Bedroom Serviced Apartment,Oniru Victoria Island Lagos,₦,"80,000,000",1,0,0,3 beds,3 baths,4 Toilets
Tastefully Finished 5 Bedroom Fully Detached Duplex,Oniru Victoria Island Lagos,₦,"250,000,000",0,1,0,5 beds,5 baths,6 Toilets
10 Units Of 3 Bedrooms Flat,Kofo Abayomi Street Kofo Abayomi Victoria Island Lagos,₦,"8,500,000,000",0,0,0,0 beds,0 baths,0 Toilets
5 Bedroom Detached Duplex,Victoria Island Lagos,₦,"300,000,000",0,1,0,5 beds,5 baths,6 Toilets
Well Finished 7th Floor Open Plan Space 240 Sqm,By Idowu Taylor Idowu Taylor Victoria Island Lagos,₦,"220,000,000",0,0,1, beds, baths, Toilets
Smart 6 Bedroom Detached House,Vi Victoria Island Lagos,₦,"550,000,000",0,0,0,0 beds,0 baths,0 Toilets
4100 Joint Venture Landbridge Avenue Oniru Victoria Island*,Oniru Victoria Island Lagos,₦,"1,400,000,000",0,0,0, beds, baths, Toilets
2 Bedroom Furnished Apartment,Eko Atlantic Eko Atlantic Victoria Island Lagos,$,"750,000",0,0,0,0 beds,0 baths,0 Toilets
4bedroom Terraced Duplex With 1room,Off Palace Way Oniru Victoria Island Lagos,₦,"160,000,000",0,0,0,4 beds,4 baths,5 Toilets
Lovely 6 Bedroom Detached Duplex With 2 Rooms Bq Sitting On 750sqm,Off Bishop Oluwole Street Victoria Island Lagos,₦,"360,000,000",0,0,0,6 beds, baths, Toilets
Luxury 3 Bedroom Apartment,Oniru Estate Oniru Victoria Island Lagos,₦,"85,000,000",1,1,0,3 beds,2 baths,3 Toilets
Contemporary 4 Bedroom Detached Duplex,"Oniru, Victoria Island (vi), Lagos Oniru Victoria Island Lagos",₦,"190,000,000",0,1,1,4 beds,4 baths,5 Toilets
3 Bedroom Flat With 247 Electricity,Oniru Oniru Victoria Island Lagos,₦,"60,000,000",1,0,0,3 beds,3 baths,4 Toilets
Office Tower,Eko Atlantic Eko Atlantic Victoria Island Lagos,$,"60,000,000",0,0,0,10 beds,10 baths,10 Toilets
Luxurious Newly Built 3 Bedroom Flat,Eko Atlantic City Victoria Island Lagos Eko Atlantic Victoria Island Lagos,₦,"432,000,000",1,1,0,3 beds,4 baths,4 Toilets
Land,Sanusi Fafunwa Victoria Island Lagos,₦,"400,000,000",0,0,0,0 beds,0 baths,0 Toilets
4 Bedrooms Terrace + 1 Room Bq,Oniru Victoria Island Lagos,₦,"95,000,000",0,0,0,4 beds,4 baths,5 Toilets
Brand New 3 Bedroom Flat With Bq,Oniru Victoria Island Lagos,₦,"90,000,000",0,1,0,3 beds,3 baths,4 Toilets
3 Bedroom Maisonette,Victoria Island Lagos,₦,"150,000,000",1,0,0,3 beds,3 baths,3 Toilets
Standard 5 Star Hotel,Kofo Abayomi Victoria Island Lagos,$,"160,000,000",0,0,0, beds, baths, Toilets
Ready To Build Corner Piece Of 1400sqm Of Land With Governor Consent,Akin Adesola Victoria Island Lagos,₦,"1,500,000,000",0,0,0,0 beds,0 baths,0 Toilets
3 Bedroom Luxury Apartments,Prince Adesegun Oniru Victoria Island Lagos Oniru Victoria Island Lagos,₦,"120,000,000",1,1,0,3 beds,3 baths,4 Toilets
Tastefully Finished 3 Bed Apartment With Bq,Victoria Island Lagos,₦,"150,000,000",0,0,0,3 beds,0 baths,0 Toilets
An Office Building In The Heart Of Victoria Isl,Akin Adesola Victoria Island Lagos,₦,"5,000,000,000",0,0,0, beds, baths, Toilets
Land,Off Water Corporation Road Victoria Island Lagos,₦,"2,100,000,000",0,0,0,0 beds,0 baths,0 Toilets
Newly Built 2bedroom Apartment,Victoria Island Extension Victoria Island Lagos,₦,"290,000,000/day",1,1,0,2 beds,2 baths,3 Toilets
4 Bedroom Maisonette + Bq,Off Idejo Street Victoria Island Lagos,₦,"250,000,000",0,0,0,4 beds,4 baths,5 Toilets
3 Bedroom Serviced Apartment,Oniru Victoria Island Lagos,₦,"70,000,000",1,0,0,3 beds,3 baths,4 Toilets
Land,"Louis Solomon, Victoria Island Victoria Island Lagos",₦,"1,300,000,000",0,0,0,0 beds,0 baths,0 Toilets
Spacious 4 Bedroom Fully Detached Duplex With Bq Jnf,Oniru Victoria Island Lagos,₦,"180,000,000",0,0,0,4 beds,4 baths,6 Toilets
Two Storey Building,Murin Okunola Victoria Island Extension Victoria Island Lagos,₦,"600,000,000",0,0,0,2 beds,2 baths,2 Toilets
"Land Measuring 11639sqm Located At Eko Atlantic, V.i",Eko Atlantic Victoria Island Lagos,₦,"11,639,000,000",0,0,0, beds, baths, Toilets
Two Storey Commercial Building,Off Adeola Odeku Victoria Island Lagos,₦,"700,000,000",0,0,0,0 beds,0 baths,0 Toilets
"Newly Built 3 Bedroom Terrace Duplex, Communal Swimming Pool And A Room Bq",Vi Victoria Island Lagos,₦,"220,000,000",0,1,0,3 beds,3 baths,4 Toilets
5 Bedroom Detached Duplex With Swimming Pool,"Oniru, Victoria Island, Lagos Oniru Victoria Island Lagos",₦,"270,000,000",0,1,1,5 beds,5 baths,6 Toilets
Serviced 3 Bedroom Apartment With 1 Room Bq,Oniru Estate Oniru Victoria Island Lagos,₦,"80,000,000",0,0,0,3 beds,3 baths,3 Toilets
Well Developed & Newly Built 4bedroom Terrace Duplex,Oniru Victoria Island Lagos,₦,"150,000,000",0,0,0,4 beds,4 baths,5 Toilets
2200sq Bareland Fenced With Gate,Bishop Kale Close Off Saka Tinubu Saka Tinubu Victoria Island Lagos,₦,"2,000,000,000",0,0,0, beds, baths, Toilets
4 Bedroom Terrace House With A Room Bq,"Off Adeola Odeku Street, Victoria Island, Lagos Adeola Odeku Victoria Island Lagos",₦,"220,000,000",0,0,0,4 beds,4 baths,5 Toilets
Strategically Located 5 Bed Fully Detached Duplex With Swimming Pool Okny,Oniru Victoria Island Lagos,₦,"280,000,000",0,1,0,5 beds,5 baths,7 Toilets
"1,287sqm Land (joint Ventures)","Muri Okunola Street, Former Cool Fm Building Victoria Island Lagos",₦,"1,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
Commerical Property On A 599sqm Of Land,Ajose Adeogun Victoria Island Lagos,₦,"350,000,000",0,0,0, beds, baths, Toilets
3bedroom Luxury Flat,Victoria Island Lagos,₦,"10,000,000",0,0,0,3 beds,0 baths,0 Toilets
4 Bedroom Luxury Terrace,Oniru Victoria Island Lagos,₦,"250,000,000",1,1,0,4 beds,4 baths,5 Toilets
Newly Built Luxury 3 Bedroom Apartment With Swimming Pool,Victoria Island Lagos,₦,"120,000,000",0,1,0,3 beds,3 baths,4 Toilets
Well Titled 800sqm Of Land In A Fantastic Location,"Off Palace Road, Oniru Victoria Island Extension Victoria Island Lagos",₦,"300,000,000",0,0,0, beds, baths, Toilets
Functional 27 Rooms Hotel,Victoria Island Lagos,₦,"1,300,000,000",0,0,0, beds, baths, Toilets
Newly Built 4 Bedrooms Semi Detached,Oniru Victoria Island Lagos,₦,"300,000,000",0,1,0,4 beds,0 baths,0 Toilets
A Modern Purpose Built 7 Floors Hospital,Oniru Oniru Victoria Island Lagos,₦,"10,000,000,000",1,1,1, beds, baths, Toilets
"Tastefully Finished, Serviced 3 Bedroom Flat",Off Ajose Adeogun Victoria Island Lagos,₦,"170,000,000",0,0,0,3 beds,0 baths,0 Toilets
Fully Furnished 3 Bedroom High Rise Apartment,"Eko Pearl, Eko Atlantic Victoria Island Lagos",$,"960,000",0,0,0,3 beds, baths, Toilets
2 Bedroom Flat,1004 Victoria Island Lagos,₦,"57,000,000",0,0,1,2 beds,0 baths,0 Toilets
Newly Built 4 Bedroom Maisionette,Oniru Victoria Island Lagos,₦,"240,000,000",1,1,0,4 beds,4 baths,5 Toilets
Newly Built 4 Bedroom Terrace Duplex With Communal Swimming Pool And A Room Bq,Vi Victoria Island Lagos,₦,"210,000,000",0,1,0,4 beds,4 baths,5 Toilets
"11,500 Sq Mtrs Land With Approved Building Plan",Oniru Estate Oniru Victoria Island Lagos,₦,"3,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
Corner Piece Land With Structures On It Measuring 1.230sqms,Bishop Bayodecole/festival Street Off Ademola Adetokunbo Victoria Island Lagos Ademola Adetokunbo Victoria Island Lagos,₦,"500,000,000",0,0,0,0 beds,0 baths,0 Toilets
3700 Sqm Land For Joint Venture,Adeola Odeku Victoria Island Lagos,₦,"3,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
3 Bedroom Serviced Flat With A Room Bq,Victoria Island Lagos,₦,"130,000,000",0,0,0,3 beds,0 baths,0 Toilets
1 Bedroom Flat,"Off Palace Road, Oniru Oniru Victoria Island Lagos",₦,"40,000,000",0,0,0,1 beds,1 baths,2 Toilets
Hospital Building With 7 Floors Available, Oniru Victoria Island Lagos,₦,"8,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
Well Maintained 4bedroom Terraced Duplex,Oniru Victoria Island Lagos,₦,"70,000,000/year",1,1,0,4 beds,4 baths,5 Toilets
2 Bedroom Luxury Apartment,Bonny Camp Victoria Island Lagos,₦,"180,000,000",1,0,0,2 beds,2 baths,3 Toilets
2000 6000sqm Land,Eko Atlantic Estate Eko Atlantic Victoria Island Lagos,$,"2,500",0,0,0, beds, baths, Toilets
Complex Of 4500sqm Lettable Spaces,Victoria Island Lagos,₦,"2,200,000,000",0,0,0,0 beds,0 baths,0 Toilets
Serviced Luxury 3 Bedroom Apartment,Victoria Island Lagos,₦,"125,000,000",1,1,0,3 beds,3 baths,4 Toilets
Property Of 1260.42sqm,Victoria Island Lagos,₦,"600,000,000",0,0,0,0 beds,0 baths,0 Toilets
4 Bedroom Bungalow,Off Kofi Abayomi Kofo Abayomi Victoria Island Lagos,₦,"130,000,000",0,0,0,4 beds,4 baths,4 Toilets
Office Tower,Eko Atlantic City Victoria Island Lagos,$,"60,000,000",0,0,0,0 beds,0 baths,0 Toilets
Land,Victoria Island Lagos,₦,"2,500,000,000",0,0,0,0 beds,0 baths,0 Toilets
4600sqm* *fenced And Gated With *approval* *for* *commercial* *purposes*,Oniru Oniru Victoria Island Lagos,₦,"1,200,000,000",0,0,0, beds, baths, Toilets
Land,Victoria Island Lagos,₦,"180,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
Land,Oniru Victoria Island Lagos,₦,"310,000,000",0,0,0,0 beds,0 baths,0 Toilets
Office Space,Bishop Oluwole Victoria Island Lagos,₦,"550,000,000",0,0,0,0 beds,0 baths,0 Toilets
4 Bedroom Semi Detach House +1room Bq,Oniru Victoria Island Lagos,₦,"180,000,000",0,1,0,4 beds,0 baths,0 Toilets
Executive 30 Rooms Hotel,Opposite Eko Hotel Adeola Odeku Victoria Island Lagos,₦,"3,500,000,000",1,0,1,0 beds,10 baths,10 Toilets
Fantastic 3 Bedroom Flat,1004 Victoria Island Lagos,₦,"65,000,000",0,0,1,3 beds,0 baths,0 Toilets
2700sq Demolishable Structure,Idowu Martins Opp. Mega Plaza Victoria Island Lagos,₦,"2,700,000,000",0,0,0, beds, baths, Toilets
Land,Eko Atlantic City Eko Atlantic Victoria Island Lagos,$,"1,150",0,0,0,0 beds,0 baths,0 Toilets
4 Bedroom Terraced Duplex,Oniru Victoria Island Lagos,₦,"120,000,000",0,1,0,4 beds,4 baths,5 Toilets
"Luxury 3 Bedroom Flats With Bq,swimming Pool And Elevator",Oniru Oniru Victoria Island Lagos,₦,"75,000,000",1,1,0,3 beds,3 baths,4 Toilets
"Land Measuring 6,700m² Land",Oniru Victoria Island Lagos,₦,"2,100,000,000",0,0,0,0 beds,0 baths,0 Toilets
Land,Tamiyu Savage Victoria Island Lagos,₦,"650,000,000",0,0,0,0 beds,0 baths,0 Toilets
